Timestamp,SteeringAngle
1719731405.203809,-0.004608154296875
1719731405.308153,-0.004608154296875
1719731405.4099364,-0.004608154296875
1719731405.512686,-0.004608154296875
1719731405.6154656,-0.004608154296875
1719731405.7175355,-0.004608154296875
1719731405.819804,-0.004669189453125
1719731405.923128,-0.005645751953125
1719731406.0262458,-0.01153564453125
1719731406.1288533,-0.019012451171875
1719731406.2312174,-0.023681640625
1719731406.3340957,-0.02728271484375
1719731406.436833,-0.02801513671875
1719731406.5395906,-0.030242919921875
1719731406.6421158,-0.034088134765625
1719731406.7455142,-0.034423828125
1719731406.8471575,-0.034423828125
1719731406.950257,-0.034423828125
1719731407.0533109,-0.034423828125
1719731407.1561606,-0.034423828125
1719731407.25856,-0.034423828125
1719731407.3614283,-0.034423828125
1719731407.463183,-0.034423828125
1719731407.5652845,-0.034423828125
1719731407.6684022,-0.034423828125
1719731407.7717133,-0.034423828125
1719731407.8743882,-0.034423828125
1719731407.9765544,-0.034423828125
1719731408.0792305,-0.034423828125
1719731408.1815479,-0.034423828125
1719731408.2846625,-0.034423828125
1719731408.3868608,-0.034423828125
1719731408.4904869,-0.034423828125
1719731408.593291,-0.034423828125
1719731408.695428,-0.034423828125
1719731408.7983007,-0.034423828125
1719731408.8999047,-0.0333251953125
1719731409.002122,-0.026885986328125
1719731409.1044936,-0.019378662109375
1719731409.2070518,-0.01239013671875
1719731409.3094876,-0.00408935546875
1719731409.4132426,0.0059814453125
1719731409.5156405,0.012939453125
1719731409.6175761,0.01708984375
1719731409.7204955,0.02093505859375
1719731409.8234122,0.02301025390625
1719731409.9253752,0.023712158203125
1719731410.0284529,0.023712158203125
1719731410.131029,0.023712158203125
1719731410.2331984,0.023712158203125
1719731410.33602,0.023712158203125
1719731410.438271,0.023406982421875
1719731410.540741,0.021728515625
1719731410.6430488,0.0196533203125
1719731410.7459252,0.01959228515625
1719731410.8484266,0.01959228515625
1719731410.9505482,0.01959228515625
1719731411.0526817,0.01959228515625
1719731411.1554914,0.01959228515625
1719731411.2578065,0.01959228515625
1719731411.3600683,0.01959228515625
1719731411.4624119,0.01959228515625
1719731411.5661638,0.01971435546875
1719731411.6695273,0.019744873046875
